"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 10 22:25:27 MSK 2023","Sun Dec 10 22:25:27 MSK 2023","101","","propertis.tests.SystemPropertiesTests","","propertis.tests.SystemPropertiesTests","systemPropertiesTest","systemPropertiesTest()",""
"passed","Sat Dec 09 19:14:19 MSK 2023","Sat Dec 09 19:14:45 MSK 2023","25643","","TextBoxTests","","TextBoxTests","fillFormTest","fillFormTest()",""
